,MapNumber,Score,matchedTittle,movieTittle,
783,12427,78,On the Ropes,On the OutsŒæ,0
611,13762,73,Once Upon a Time in Mexico,Once Upon a Time in QueensŒæ,0
352,14019,77,Once Upon a Time in the Midlands,Once Upon a Time in the WestŒæ,0
483,4965,82,The Open Road,Open RoadŒæ,0
840,1694,80,In Secret,Open SecretŒæ,0
809,13853,71,The Order,OrdetŒæ,0
142,14115,71,Out of Control,Out of InfernoŒæ,0
355,6279,100,Out of the Blue,Out of the BlueŒæ,1
596,2514,87,Out in the Dark,Out of the DarkŒæ,0
37,4827,100,Outlander,OutlanderŒæ            ,1
292,1318,71,B-Side,Outside BetŒæ,0
119,12495,69,I Want You,Paint Your WagonŒæ,0
183,13223,100,Pandaemonium,PandaemoniumŒæ,1
246,561,74,Reparation,PartitionŒæ,0
126,1541,62,Transcendence,PasschendaeleŒæ,0
378,8727,72,The Karate Kid Part II,Pat Garrett & Billy the KidŒæ,0
199,8726,77,Platoon,PattonŒæ,0
844,7315,94,"Peace, Propaganda and the Promised Land","Peace, Propaganda & the Promised LandŒæ",1
836,8184,89,Penitentiary II,PenitentiaryŒæ,0
125,4007,74,Inception,PerceptionŒæ            ,0
819,4526,80,Nobody's Perfect,Perfect CowboyŒæ,0
227,39,84,Pete's Dragon (2016),Pete's DragonŒæ,0
771,6082,100,PIERROT LE FOU,Pierrot le FouŒæ,1
251,10100,71,Pastime,PlasticŒæ,0
495,2815,61,Rock of Ages,Pocketful of MiraclesŒæ,0
487,3628,100,Point Blank,Point BlankŒæ,1
463,12982,97,Pokemon 3: The Movie,Pokí©mon 3: The MovieŒæ,1
296,7230,71,39 Pounds of Love,Pound of FleshŒæ,0
281,9483,80,Prancer,PreacherŒæ            ,0
200,10978,80,The Prophecy,ProphecyŒæ,0
676,3540,67,Prom,ProudŒæ,0
365,8232,71,Psycho II,PsychŒæ            ,0
418,8835,73,Violets Are Blue,Purple VioletsŒæ,0
641,13494,67,CQ,QŒæ,0
845,10079,64,Queens Logic,Queen CrabŒæ,0
626,11673,77,Prisoner of the Mountains,Queen of the MountainsŒæ,0
195,8118,100,Quest for Fire,Quest for FireŒæ,1
272,315,59,Aquarius,Quo VadisŒæ,0
391,3744,59,Steve Jobs: The Lost Interview,R.L. Stine's Monsterville: The Cabinet of SoulsŒæ,0
132,2260,78,Raanjhana,RamanujanŒæ,0
868,10314,100,Rampage,RampageŒæ,1
862,8848,64,'Round Midnight,Raymond Did ItŒæ,0
252,4433,80,Red Hill,Re-KillŒæ,0
630,8318,59,Trenchcoat,RebeccaŒæ,0
22,13260,78,Red Dragon,Red DawnŒæ,0
255,6674,75,Red Doors,Red DogŒæ,0
154,7591,100,Red Lights,Red LightsŒæ,1
262,13711,63,The Lord of the Rings: The Return of the King,Red Riding: In the Year of Our Lord 1974Œæ,0
471,5250,76,Frozen River,Red RiverŒæ,0
108,7980,73,Reds,Red SkyŒæ,0
153,8648,100,Red Sonja,Red SonjaŒæ,1
407,3605,100,Red State,Red StateŒæ,1
65,7980,100,Reds,RedsŒæ,1
191,13102,70,Our Lady of the Assassins,Reign of AssassinsŒæ,0
602,8541,100,Repo Man,Repo ManŒæ,1
283,12854,100,Restless,RestlessŒæ,1
147,11042,100,Restoration,RestorationŒæ,1
553,10612,100,Return of the Living Dead III,Return of the Living Dead IIIŒæ,1
89,8617,100,Return to Oz,Return to OzŒæ,1
765,8709,100,Revolution,RevolutionŒæ            ,1
79,4759,69,Play the Game,Ripley's GameŒæ,0
754,2406,57,Young Detective Dee: Rise of the Sea Dragon,Rise of the Entrepreneur: The Search for a Better WayŒæ,0
755,7938,86,Roadie,RoadsideŒæ,0
350,11489,81,Batman and Robin,Robin and MarianŒæ,0
470,12521,75,Chicken Run,Robot ChickenŒæ            ,0
562,8473,67,Runaway,RockawayŒæ,0
656,2325,64,Singh Saab The Great,Rocket Singh: Salesman of the YearŒæ,0
749,3222,80,Girl Model,Rodeo GirlŒæ,0
110,5589,100,Rogue,RogueŒæ            ,1
828,4332,76,The Romantics,Romantic SchemerŒæ,0
456,13200,64,Maybe Baby,Rosemary's BabyŒæ,0
766,8280,61,Doctor Detroit,Rotor DR1Œæ,0
772,4900,100,Royal Kill,Royal KillŒæ,1
24,12540,100,Rules of Engagement,Rules of EngagementŒæ            ,1
863,2857,70,Hit and Run,"Run, Hide, DieŒæ",0
373,12801,89,Running Free,Running ForeverŒæ,0
53,11787,100,Rush Hour,Rush HourŒæ            ,1
786,10095,89,Trust,RustŒæ,0
26,9082,65,Date with an Angel,"Sabrina, the Teenage WitchŒæ            ",0
389,8879,100,Salvador,SalvadorŒæ,1
878,8512,56,A Sunday in the Country,Sanctuary; Quite a ConundrumŒæ,0
662,13706,60,Execution of Wanda Jean,Sands of Iwo JimaŒæ,0
503,5283,70,Sarkar Raj,Sardaar JiŒæ,0
80,30,100,Sausage Party,Sausage PartyŒæ,1
358,12629,100,Saving Grace,Saving GraceŒæ            ,1
403,12629,100,Saving Grace,Saving GraceŒæ            ,1
736,12434,67,Man of the Century,Scott Walker: 30 Century ManŒæ,0
167,7532,69,The Dreamers,Scream: The TV SeriesŒæ            ,0
123,4146,91,The Secret in Their Eyes,Secret in Their EyesŒæ,1
387,11274,86,Secrets & Lies,Secrets and LiesŒæ            ,0
28,5069,100,Sex and the City,Sex and the CityŒæ            ,1
618,5955,67,Chalk,ShalakoŒæ,0
575,7585,71,Lakshya,Shark LakeŒæ,0
440,6939,67,Sahara,SharknadoŒæ,0
534,4821,67,Shrink,SharkskinŒæ,0
130,9978,100,Shattered,ShatteredŒæ,1
97,833,83,Shaun the Sheep Movie,Shaun the SheepŒæ            ,0
803,370,63,Miss Sharon Jones,She Done Him WrongŒæ,0
595,1748,60,The One I Wrote For You,She Wore a Yellow RibbonŒæ,0
101,8479,100,Sheena,SheenaŒæ,1
182,7774,58,Incident at Loch Ness,Shinjuku IncidentŒæ,0
269,9965,100,Shipwrecked,ShipwreckedŒæ,1
805,9788,67,The Long Walk Home,Shooting the WarwicksŒæ,0
372,3191,62,You've Been Trumped,Should've Been RomeoŒæ,0
521,6978,70,Beauty Shop,Show BoatŒæ,0
761,12386,74,Show Me Love,Show MeŒæ,0
881,9239,60,Stand and Deliver,Signed Sealed DeliveredŒæ,0
392,7826,80,A Silent Love,Silent MovieŒæ,0
657,3264,77,Silent Night,Silent RunningŒæ,0
175,10870,74,Silent Tongue,Silent TriggerŒæ,0
271,7640,100,Silmido,SilmidoŒæ,1
508,8612,69,Silver Bullet,Silver MedallistŒæ,0
510,13569,80,Singin' in the Rain (Re-issue),Singin' in the RainŒæ,0
571,13672,69,The Rising Place,Slacker UprisingŒæ,0
360,793,70,Spotlight,Sleep TightŒæ,0
538,11195,93,Sleepers,SleeperŒæ,1
20,12137,100,Sleepy Hollow,Sleepy HollowŒæ            ,1
566,11319,71,Joe's Apartment,Small ApartmentsŒæ,0
307,6648,75,Queens,Snow QueenŒæ,0
680,3942,65,How I Ended This Summer,Snow White: A Deadly SummerŒæ,0
92,4226,64,The Art of the Steal,Snow White: A Tale of TerrorŒæ,0
40,13355,100,Solaris,SolarisŒæ,1
807,7310,100,Solitude,SolitudeŒæ,1
348,10454,69,Heart and Souls,Solomon and ShebaŒæ,0
778,5825,62,I Know Who Killed Me,Some Guy Who Kills PeopleŒæ,0
490,8803,87,Something Wild,Something WickedŒæ,0
339,7914,100,Somewhere in Time,Somewhere in TimeŒæ,1
411,6567,72,The Second Chance,Sonny with a ChanceŒæ            ,0
113,6137,67,Forever,SorcererŒæ,0
207,2778,61,Battleship,Space Battleship YamatoŒæ,0
105,3265,87,Space Dogs 3D,Space DogsŒæ,0
625,1033,84,Above and Beyond,Space: Above and BeyondŒæ            ,0
201,329,67,Spirit of the Game,Spartacus: War of the DamnedŒæ            ,0
666,13205,100,Speedway Junky,Speedway JunkyŒæ,1
601,3210,84,Hellbound?,SpellboundŒæ,0
213,198,62,Train to Busan,St. Trinian'sŒæ,0
192,7367,87,Van Helsing,Stan HelsingŒæ,0
0,732,82,Star Wars: The Force Awakens,Star Wars: Episode VII - The Force AwakensŒæ            ,0
267,5139,100,Star Wars: The Clone Wars,Star Wars: The Clone WarsŒæ            ,1
30,10645,76,Stargate,Stargate SG-1Œæ            ,0
309,4226,71,The Art of the Steal,Stargate: The Ark of TruthŒæ,0
718,4897,78,Trucker,StarsuckersŒæ,0
388,9424,80,State Park,State FairŒæ,0
683,5677,74,The Simpsons Movie,Steppin: The MovieŒæ,0
558,9762,74,The Witches,StitchesŒæ,0
874,5805,72,The Lives of Others,Stories of Our LivesŒæ,0
569,7763,74,Straight-Jacket,Straight A'sŒæ,0
236,1266,100,Strangerland,StrangerlandŒæ,1
546,6508,100,Strangers with Candy,Strangers with CandyŒæ            ,1
516,11605,73,Sprung,StungŒæ,0
743,6696,87,Unconscious,SubconsciousŒæ,0
586,2030,67,Souldier,SublimeŒæ,0
548,8706,100,Subway,SubwayŒæ,1
785,5091,67,High School Musical 3: Senior Year,Sunday School MusicalŒæ,0
806,13545,67,Hybrid,Super HybridŒæ,0
848,2665,100,Supporting Characters,Supporting CharactersŒæ,1
514,13900,100,Sur le Seuil,Sur le seuilŒæ,1
135,2066,76,Lone Survivor,SurvivorŒæ,0
124,9301,71,Sweet Hearts Dance,Sweet CharityŒæ,0
287,5393,86,Shelter,SwelterŒæ,0
660,11371,71,Taxi Driver (re-issue),Taxi DriverŒæ,0
442,8405,77,Starman,TaxmanŒæ,0
781,6256,80,Blood and Tears,Teeth and BloodŒæ,0
628,10999,50,The Englishman Who Went Up a Hill But Came Down a Mountain,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About ItŒæ,0
8,4045,100,The A-Team,The A-TeamŒæ            ,1
638,4085,83,The American,The AlgerianŒæ,0
314,7443,70,The Prince and Me,The Andromeda StrainŒæ,0
465,9584,81,Apartment Zero,The ApartmentŒæ,0
376,7920,100,The Awakening,The AwakeningŒæ,1
115,12199,100,The Bachelor,The BachelorŒæ            ,1
55,6986,88,Bad News Bears,The Bad News BearsŒæ,0
433,800,70,The Age of Adaline,The Ballad of Cable HogueŒæ,0
623,8361,100,The Ballad of Gregorio Cortez,The Ballad of Gregorio CortezŒæ,1
347,8135,100,The Beastmaster,The BeastmasterŒæ,1
441,5499,83,The Betrayal,The BetrayedŒæ,0
796,9637,76,The Big Picture,The Big ParadeŒæ,0
769,8994,75,The Big Easy,The Big SwapŒæ,0
833,116,100,The Birth of a Nation,The Birth of a NationŒæ,1
118,555,86,The Black Dove,The Black HoleŒæ,0
502,8270,82,The Black Stallion Returns,The Black StallionŒæ,0
827,4704,78,The Brothers Bloom,The Blood of My BrotherŒæ,0
640,9309,88,The Big Blue,The Blue BirdŒæ,0
221,7547,100,The Blue Butterfly,The Blue ButterflyŒæ,1
384,7860,100,The Blue Lagoon,The Blue LagoonŒæ,1
258,284,81,The Boy and the Beast,The Bold and the BeautifulŒæ            ,0
304,12847,100,The Boondock Saints,The Boondock SaintsŒæ,1
193,8166,100,The Border,The BorderŒæ            ,1
202,9957,69,For the Boys,The Boys from BrazilŒæ,0
826,2636,72,The Brass Teapot,The Brain That SingsŒæ,0
846,2811,65,The Cabin in the Woods,The Brain That Wouldn't DieŒæ,0
523,4784,71,The Little Traitor,The Brave Little ToasterŒæ,0
734,632,71,The Ruins of Lifta,The CaliforniansŒæ,0
855,10646,63,Legends of the Fall,The Call of CthulhuŒæ,0
522,14185,100,The Calling,The CallingŒæ,1
818,14185,100,The Calling,The CallingŒæ,1
808,6781,100,The Case of the Grinning Cat,The Case of the Grinning CatŒæ,1
644,6569,73,The Heart of the Game,The Charge of the Light BrigadeŒæ,0
788,2219,77,The Christmas Candle,The Christmas BunnyŒæ,0
279,4236,100,The City of Your Final Destination,The City of Your Final DestinationŒæ,1
75,6681,79,Color of the Cross,The Color of FreedomŒæ,0
173,13896,100,The Company,The CompanyŒæ            ,1
710,7660,79,The Agronomist,The ConformistŒæ,0
597,1057,80,The Connection,The ConversationŒæ,0
361,13533,75,The Cockettes,The CottageŒæ,0
210,3106,74,The Eye of the Storm,The Cry of the OwlŒæ,0
574,6471,81,Curse of the Golden Flower,The Curse of Downers GroveŒæ,0
759,7351,100,The Dark Hours,The Dark HoursŒæ,1
652,8249,79,The Dead Zone,The Dead UndeadŒæ,0
228,8249,100,The Dead Zone,The Dead ZoneŒæ,1
171,8249,100,The Dead Zone,The Dead ZoneŒæ            ,1
285,3737,75,City of Life and Death,The Death and Life of Bobby ZŒæ,0
170,7894,80,The Hunter,The Deer HunterŒæ,0
482,6311,92,The Departed,The DeportedŒæ,1
245,9491,72,She-Devil,The Devil's TombŒæ,0
850,1700,82,The Pirates,The DirtiesŒæ,0
619,10251,82,The Lover,The Dog LoverŒæ,0
127,10747,67,The Chase,The Doombolt ChaseŒæ            ,0
506,8312,90,The Dresser,The DressŒæ,0
345,10407,76,The Piano,The EgyptianŒæ,0
342,7876,100,The Elephant Man,The Elephant ManŒæ,1
764,8333,100,The Evil Dead,The Evil DeadŒæ,1
95,800,74,The Age of Adaline,The Face of an AngelŒæ,0
141,10435,68,The Remains of the Day,The Fall of the Roman EmpireŒæ,0
69,9375,100,The Family,The FamilyŒæ            ,1
882,12425,82,Following,The FollowingŒæ            ,0
313,7976,100,The Four Seasons,The Four SeasonsŒæ,1
116,1057,80,The Connection,The French ConnectionŒæ,0
524,1057,80,The Connection,The French ConnectionŒæ,0
401,3292,79,The Front Line,The Front PageŒæ,0
136,4965,73,The Open Road,The Frozen GroundŒæ,0
792,265,80,The Bronze,The FrozenŒæ,0
415,7016,58,George A. Romero's Land of the Dead,The Geographer Drank His Globe AwayŒæ,0
636,4755,100,The Girlfriend Experience,The Girlfriend ExperienceŒæ            ,1
479,5404,100,The Grand,The GrandŒæ            ,1
404,5751,76,The Great Debaters,The Great EscapeŒæ,0
322,4280,68,The Girl on the Train,The Great Train RobberyŒæ,0
719,9831,82,The Last of the Finest,The Hadza: Last of the FirstŒæ,0
270,4594,73,The Haunting in Connecticut,The Haunting in Connecticut 2: Ghosts of GeorgiaŒæ,0
668,7324,100,The Helix... Loaded,The Helix... LoadedŒæ,1
328,6499,80,The Lost City,The Hit ListŒæ,0
294,1193,82,The Phone,The HoleŒæ,0
88,7039,100,The Honeymooners,The HoneymoonersŒæ            ,1
698,9107,62,Return to Horror High,The Horror Network Vol. 1Œæ,0
542,7894,86,The Hunter,The HustlerŒæ,0
265,12185,87,The Insider,The I InsideŒæ,0
259,1700,85,The Pirates,The Ice PiratesŒæ,0
858,13719,81,The Matrix Revolutions,The Image RevolutionŒæ,0
333,3173,84,The Inbetweeners Movie,The InbetweenersŒæ            ,0
148,4796,100,The Informers,The InformersŒæ,1
237,5014,88,Janky Promoters,The Janky PromotersŒæ,0
723,1939,71,Eternity the Movie,The Kentucky Fried MovieŒæ,0
745,2602,75,In the Name Of,The King of NajayoŒæ,0
572,7144,59,CSA: The Confederate States of America,The Legend of Hell's Gate: An American ConspiracyŒæ,0
633,9162,75,End of the Line,The Lion of JudahŒæ,0
750,222,68,The Little Prince,The Little Ponderosa ZooŒæ,0
230,7896,100,The Long Riders,The Long RidersŒæ,1
225,12348,79,The Last Days,The Longest DayŒæ,0
631,6893,88,The Long Weekend,The Lost WeekendŒæ,0
172,12253,100,The Love Letter,The Love LetterŒæ,1
793,12253,100,The Love Letter,The Love LetterŒæ,1
420,1689,86,The One I Love,The Loved OnesŒæ,0
1,10251,95,The Lover,The LoversŒæ,1
62,10251,95,The Lover,The LoversŒæ,1
90,6454,67,The Fountain,The Magic FluteŒæ,0
728,11278,71,Marvin's Room,The Maid's RoomŒæ,0
810,708,77,From the East,The Man from EarthŒæ,0
343,8119,100,The Man From Snowy River,The Man from Snowy RiverŒæ,1
457,12583,59,The Legend of Bagger Vance,The Man Who Shot Liberty ValanceŒæ,0
576,10027,67,The Man in the Moon,The Marine 4: Moving TargetŒæ,0
160,5741,100,The Messengers,The MessengersŒæ            ,1
405,343,84,The Fits,The MisfitsŒæ,0
23,13806,100,The Missing,The MissingŒæ            ,1
217,7188,71,The Holy Girl,The Molly MaguiresŒæ,0
880,10630,79,The Lion King,The Mongol KingŒæ,0
707,7742,100,The Mudge Boy,The Mudge BoyŒæ,1
853,10848,75,The New Age,The Naked ApeŒæ,0
87,8429,100,The Neverending Story,The NeverEnding StoryŒæ,1
842,9635,87,Night Visitor,The Night VisitorŒæ,0
435,9760,73,Nuns on the Run,The Nun's StoryŒæ,0
143,3113,82,On the Ice,The O.C.Œæ            ,0
354,6575,100,The OH in Ohio,The Oh in OhioŒæ,1
96,115,80,The Comedian,The OmenŒæ,0
498,115,80,The Comedian,The OmenŒæ,0
455,11930,91,The Opposite of Sex,The Opposite SexŒæ,1
739,6754,59,The Piano Tuner of Earthquakes,The Outrageous Sophie TuckerŒæ,0
280,11312,100,The Pallbearer,The PallbearerŒæ,1
675,10626,86,When the Party's Over,The Party's OverŒæ,0
843,1853,100,The Past is a Grotesque Animal,The Past is a Grotesque AnimalŒæ,1
423,9975,82,The Perfect Weapon,The Perfect WaveŒæ,0
687,11631,93,The Pest,The PetŒæ,1
277,10191,100,The Player,The PlayerŒæ            ,1
677,6358,83,The Lake House,The Poker HouseŒæ,0
203,8025,100,The Postman Always Rings Twice,The Postman Always Rings TwiceŒæ,1
99,13373,86,The Powerpuff Girls Movie,The Powerpuff GirlsŒæ            ,0
156,559,80,The Fiance,The PrinceŒæ,0
198,10119,73,Prisoners of the Sun,The Prisoner of ZendaŒæ,0
204,8051,100,The Pursuit of D.B. Cooper,The Pursuit of D.B. CooperŒæ,1
238,10729,93,The Ref,The ReefŒæ,1
316,8602,93,Return of the Living Dead,The Return of the Living DeadŒæ,1
400,8602,93,Return of the Living Dead,The Return of the Living DeadŒæ,1
340,10533,79,Son of the Pink Panther,The Return of the Pink PantherŒæ,0
43,6461,91,The Return,The ReturnedŒæ            ,1
873,6630,90,The Bridge,The RidgesŒæ,0
27,11349,67,Ridicule,The Ridiculous 6Œæ,0
518,10435,79,The Remains of the Day,The Rise of the KraysŒæ,0
286,8023,65,The Legend of the Lone Ranger,The Rocket: The Legend of Rocket RichardŒæ,0
443,5402,95,The Secrets,The SecretŒæ            ,1
137,7865,100,The Shining,The ShiningŒæ,1
857,5355,100,The Signal,The SignalŒæ,1
715,1343,100,The Sisterhood of Night,The Sisterhood of NightŒæ,1
658,1980,85,Sleepwalker,The SleepwalkerŒæ,0
748,7981,80,The Fox and the Hound,The Sound and the ShadowŒæ,0
577,4244,100,The Square,The SquareŒæ,1
800,7307,71,The Aggressives,The StewardessesŒæ,0
624,11026,69,The Secret of Roan Inish,The Streets of San FranciscoŒæ            ,0
536,1084,84,The Tribe,The TimberŒæ,0
38,4058,85,Tooth Fairy,The Tooth FairyŒæ,0
568,826,62,In the Heart of the Sea,The Torture Chamber of Dr. SadismŒæ,0
128,97,78,The Witch,The TouchŒæ,0
751,9604,81,The Toxic Avenger Part II,The Toxic AvengerŒæ,0
332,973,90,The D Train,The TrainŒæ,0
639,2820,82,Trouble with the Curve,The Trouble with HarryŒæ,0
104,524,65,Troublemakers: The Story of Land Art,The True Story of Puss'N BootsŒæ,0
527,5833,79,In the Valley of Elah,The Valley of DecisionŒæ,0
653,922,74,The Vatican Tapes,The Vatican ExorcismsŒæ,0
419,6071,78,The Violin,The VeilŒæ,0
410,12494,100,The Velocity of Gary,The Velocity of GaryŒæ,1
573,11028,89,The Walking Dead,The Walking DeceasedŒæ,0
295,339,100,The Wave,The WaveŒæ,1
282,8365,100,The Wicked Lady,The Wicked LadyŒæ,1
648,9602,65,The Terror Within,The Wicked WithinŒæ,0
321,11101,76,The Wild Bunch (re-issue),The Wild BunchŒæ,0
834,14203,100,The Work and the Story,The Work and the StoryŒæ,1
817,7040,80,The New World,The World Is MineŒæ,0
813,12577,70,Where the Heart Is,Theresa Is a MotherŒæ,0
484,11705,69,Happy Together,They Came TogetherŒæ,0
724,660,100,They Will Have to Kill Us First,They Will Have to Kill Us FirstŒæ,1
859,2577,100,This is Martin Bonner,This Is Martin BonnerŒæ,1
552,14114,100,This Thing of Ours,This Thing of OursŒæ,1
129,863,64,Dragon Ball Z: Resurrection 'F',Three Kingdoms: Resurrection of the DragonŒæ,0
168,339,67,The Wave,Tidal WaveŒæ,0
847,2994,78,The Oranges,Tiger OrangeŒæ,0
509,5254,70,The Fall,Timber FallsŒæ,0
876,4684,70,A Single Man,Tin Can ManŒæ,0
560,3577,57,Bucky Larson: Born to Be a Star,"To Be Frank, Sinatra at 100Œæ",0
540,1827,73,The King and the Mockingbird,To Kill a MockingbirdŒæ,0
659,10487,82,Mr. Jones,Tom JonesŒæ,0
17,7804,61,Incantato,Top Cat BeginsŒæ,0
406,4896,75,OPA!,TopazŒæ,0
466,236,72,Certain Women,Torn CurtainŒæ,0
185,779,65,The Wedding Ringer,Towering InfernoŒæ            ,0
315,4897,86,Trucker,TrackerŒæ,0
439,13487,89,Rain,TrainŒæ,0
402,1951,73,Raze,TrapezeŒæ,0
71,13388,100,Trapped,TrappedŒæ            ,1
721,8408,82,Teachers,TreacheryŒæ,0
383,5760,72,The Reaping,Treading WaterŒæ,0
208,4011,80,Tangled,TriangleŒæ,0
686,10964,73,To Die For,Truth or DieŒæ,0
35,7446,100,Twisted,TwistedŒæ            ,1
306,7762,80,Twist,TwixtŒæ,0
311,13647,68,Love and a Bullet,Two Lovers and a BearŒæ,0
356,6649,77,Typhoon,TycoonŒæ,0
264,8822,51,Transformers: The Movie,"Ultramarines: A Warhammer 40,000 MovieŒæ",0
114,2491,100,Underdogs,UnderdogsŒæ,1
791,7330,71,Unveiled,UnDividedŒæ,0
832,12820,62,Set Me Free,Une Femme Marií©eŒæ,0
146,11337,100,Unforgettable,UnforgettableŒæ            ,1
33,10145,76,Unforgiven,UnforgottenŒæ            ,0
76,1432,100,United Passions,United PassionsŒæ,1
500,8389,70,The Natural,UnnaturalŒæ,0
603,281,100,Unsullied,UnsulliedŒæ,1
582,13113,73,Tuvalu,VaaluŒæ,0
273,5833,65,In the Valley of Elah,Valley of the Wolves: IraqŒæ,0
555,9607,76,Vampire's Kiss,Vampire KillersŒæ,0
319,1597,100,Veronica Mars,Veronica MarsŒæ            ,1
263,11768,57,Trojan Eddie,Veronika Decides to DieŒæ,0
708,350,67,Eva Hesse,VesselŒæ,0
330,8338,100,Videodrome,VideodromeŒæ,1
51,8912,71,TerrorVision,Virgin TerritoryŒæ,0
94,14007,67,Levity,ViyŒæ,0
609,12678,61,The Color of Paradise,Wal-Mart: The High Cost of Low PriceŒæ,0
722,6487,91,Water,WalterŒæ,1
318,6026,78,War/Dance,War & PeaceŒæ            ,0
107,6487,77,Water,WaterlooŒæ,0
368,5041,76,Give Me Your Hand,We Have Your HusbandŒæ,0
163,4300,81,Welcome to the Rileys,Welcome to the SticksŒæ,0
799,3215,61,The Revisionaries,Western ReligionŒæ,0
820,12065,68,The Theory of Flight,When the Lights Went OutŒæ,0
239,2727,70,Into the White,White Noise 2: The LightŒæ,0
447,9659,76,Blood Red,Wicked BloodŒæ,0
73,11090,74,Wild Reeds,Wild CardŒæ,0
473,280,77,Willy Wonka and the Chocolate Factory (2016 re-release),Willy Wonka & the Chocolate FactoryŒæ,0
617,895,73,Wild Tales,Wind WalkersŒæ,0
703,1399,100,Windsor Drive,Windsor DriveŒæ,1
563,9175,80,Twins,WingsŒæ            ,0
176,2412,100,Winnie Mandela,Winnie MandelaŒæ,1
380,13512,80,Me Without You,Without MenŒæ,0
650,7033,100,Wolf Creek,Wolf CreekŒæ            ,1
155,1899,100,Wolves,WolvesŒæ,1
196,8604,60,Tomboy,WombŒæ,0
284,3097,87,Wuthering Heights (2012),Wuthering HeightsŒæ            ,0
25,6563,53,A Guide to Recognizing Your Saints,Xi you ji zhi: Sun Wukong san da Baigu JingŒæ,0
812,12371,73,Twice Upon a Yesterday,Yesterday Was a LieŒæ,0
374,9464,67,Road House,Yoga HosersŒæ,0
593,5087,65,You Don't Mess with the Zohan,You Can't Take It with YouŒæ,0
240,2839,67,The Secret World of Arrietty,You Got Served: Beat the WorldŒæ,0
42,6954,100,"Yours, Mine and Ours","Yours, Mine and OursŒæ",1
120,2825,65,"Monsters, Inc. (3D)",Yu-Gi-Oh! Duel MonstersŒæ            ,0
305,4980,83,Storm,Z StormŒæ,0
131,4665,71,Amelia,ZambeziaŒæ,0
408,11251,77,Flipper,ZipperŒæ,0
679,7789,64,Weapons of Mass Deception,ZMD: Zombies of Mass DestructionŒæ,0
690,7894,70,The Hunter,Zombie HunterŒæ,0
165,1532,60,Oculus,ZuluŒæ,0
,,,,,
,,,,,
,,,,,260
